date,attendance,away_team,away_team_score,home_team,home_team_score,notes,overtime,playoff,start_et
1999-03-13,19911,Minnesota Timberwolves,72,Utah Jazz,99,,,False,
1999-03-14,14834,Atlanta Hawks,85,Detroit Pistons,72,,,False,
1999-03-14,16664,Boston Celtics,96,Indiana Pacers,99,,,False,
1999-03-14,15036,New Jersey Nets,76,Miami Heat,102,,,False,
1999-03-14,19763,Charlotte Hornets,86,New York Knicks,94,,,False,
1999-03-14,19023,Houston Rockets,90,Phoenix Suns,104,,,False,
1999-03-14,17317,Los Angeles Lakers,101,Sacramento Kings,105,,,False,
1999-03-14,17072,Los Angeles Clippers,89,Seattle SuperSonics,108,,,False,
1999-03-14,14353,Milwaukee Bucks,86,Washington Wizards,98,,,False,
1999-03-15,22456,Cleveland Cavaliers,89,Chicago Bulls,85,,OT,False,
1999-03-15,14046,Portland Trail Blazers,106,Dallas Mavericks,91,,,False,
1999-03-15,8251,Vancouver Grizzlies,84,Denver Nuggets,110,,,False,
1999-03-15,15084,Sacramento Kings,111,Golden State Warriors,105,,,False,
1999-03-15,14738,New York Knicks,108,Milwaukee Bucks,102,,,False,
1999-03-15,18447,Utah Jazz,90,Minnesota Timberwolves,83,,,False,
1999-03-15,16555,Philadelphia 76ers,73,Orlando Magic,74,,,False,
1999-03-15,15329,Charlotte Hornets,82,Toronto Raptors,89,,,False,
1999-03-16,12928,Detroit Pistons,82,Cleveland Cavaliers,86,,,False,
1999-03-16,16285,Portland Trail Blazers,93,Houston Rockets,101,,,False,
1999-03-16,15848,Atlanta Hawks,85,Indiana Pacers,79,,,False,
1999-03-16,15200,Washington Wizards,85,Miami Heat,94,,,False,
1999-03-16,13316,Phoenix Suns,110,Milwaukee Bucks,92,,,False,
1999-03-16,19006,Los Angeles Lakers,107,Minnesota Timberwolves,101,,,False,
1999-03-16,19763,Los Angeles Clippers,89,New York Knicks,113,,,False,
1999-03-16,14570,San Antonio Spurs,121,Sacramento Kings,109,,,False,
1999-03-16,17072,Vancouver Grizzlies,85,Seattle SuperSonics,87,,,False,
1999-03-16,15731,New Jersey Nets,85,Toronto Raptors,100,,,False,
1999-03-17,16117,Miami Heat,86,Atlanta Hawks,85,,,False,
1999-03-17,18263,Los Angeles Clippers,84,Boston Celtics,118,,,False,
1999-03-17,17837,Phoenix Suns,111,Charlotte Hornets,119,,,False,
1999-03-17,14217,Houston Rockets,114,Denver Nuggets,109,,,False,
1999-03-17,14981,Toronto Raptors,103,Detroit Pistons,101,,,False,
1999-03-17,10257,San Antonio Spurs,82,Golden State Warriors,78,,,False,
1999-03-17,14976,Dallas Mavericks,87,New Jersey Nets,88,,,False,
1999-03-17,15823,Chicago Bulls,94,Orlando Magic,103,,,False,
1999-03-17,16588,Indiana Pacers,110,Philadelphia 76ers,114,,,False,
1999-03-18,22211,New Jersey Nets,95,Chicago Bulls,104,,,False,
1999-03-18,20562,Los Angeles Lakers,93,Cleveland Cavaliers,100,,,False,
1999-03-18,13724,Boston Celtics,83,Milwaukee Bucks,99,,,False,
1999-03-18,19763,Orlando Magic,86,New York Knicks,78,,,False,
1999-03-18,14397,Portland Trail Blazers,88,Sacramento Kings,78,,,False,
1999-03-18,17466,Minnesota Timberwolves,81,Vancouver Grizzlies,86,,,False,
1999-03-18,16121,Utah Jazz,95,Washington Wizards,87,,,False,
1999-03-19,17190,Phoenix Suns,85,Atlanta Hawks,93,,,False,
1999-03-19,22989,Utah Jazz,82,Charlotte Hornets,83,,OT,False,
1999-03-19,14219,Minnesota Timberwolves,105,Denver Nuggets,101,,,False,
1999-03-19,18152,Dallas Mavericks,87,Detroit Pistons,94,,,False,
1999-03-19,15253,Seattle SuperSonics,78,Golden State Warriors,90,,,False,
1999-03-19,16570,Chicago Bulls,87,Indiana Pacers,96,,,False,
1999-03-19,20644,Los Angeles Lakers,90,Philadelphia 76ers,105,,,False,
1999-03-19,20041,San Antonio Spurs,85,Portland Trail Blazers,90,,,False,
1999-03-19,18839,Los Angeles Clippers,82,Toronto Raptors,93,,,False,
1999-03-20,12225,Milwaukee Bucks,83,Atlanta Hawks,77,,,False,
1999-03-20,16161,Sacramento Kings,90,Dallas Mavericks,104,,,False,
1999-03-20,16285,Phoenix Suns,93,Houston Rockets,103,,OT,False,
1999-03-20,15200,Indiana Pacers,94,Miami Heat,89,,,False,
1999-03-20,19763,Boston Celtics,78,New York Knicks,96,,,False,
1999-03-20,19193,San Antonio Spurs,92,Vancouver Grizzlies,88,,OT,False,
1999-03-20,19209,Cleveland Cavaliers,83,Washington Wizards,113,,,False,
1999-03-21,18624,Chicago Bulls,95,Boston Celtics,92,,OT,False,
1999-03-21,13806,New Jersey Nets,85,Cleveland Cavaliers,88,,,False,
1999-03-21,10221,Seattle SuperSonics,98,Denver Nuggets,102,,,False,
1999-03-21,19098,Utah Jazz,101,Detroit Pistons,104,,OT,False,
1999-03-21,13974,Charlotte Hornets,94,Milwaukee Bucks,87,,,False,
1999-03-21,15371,Los Angeles Clippers,100,Minnesota Timberwolves,85,,,False,
